曲靖,0,13,0,13
大理州,0,13,0,13
红河州,0,9,0,9
保山,0,9,0,9
丽江,0,7,0,7
德宏州,0,5,0,5
普洱,0,4,0,4
楚雄州,0,4,0,4
文山州,0,2,0,2
临沧,0,1,0,1
河北,4,373,6,363
境外输入,4,34,0,30
唐山,0,58,1,57
沧州,0,49,3,46
保定,0,48,0,48
张家口,0,43,0,43
邯郸,0,32,0,32
廊坊,0,32,0,32
石家庄,0,29,0,29
邢台,0,23,1,22
秦皇岛,0,10,1,9
衡水,0,8,0,8
承德,0,7,0,7
北京,3,948,9,936
丰台区,266,273,0,7
大兴区,88,104,0,16
海淀区,82,82,0,0
朝阳区,77,77,0,0
西城区,59,59,0,0
外地来京,24,26,0,2
昌平区,20,30,0,10
通州区,19,20,0,1
东城区,18,19,0,1
房山区,17,20,0,3
境外输入,7,189,0,182
怀柔区,7,7,0,0
密云区,7,7,0,0
石景山区,6,15,0,9
门头沟区,3,5,0,2
延庆区,1,1,0,0
顺义区,0,10,0,10
待明确地区,-698,4,9,693
广西,2,262,2,258
境外输入,2,10,0,8
南宁,0,55,0,55
北海,0,44,1,43
桂林,0,32,0,32
河池,0,28,1,27
柳州,0,24,0,24
防城港,0,19,0,19
玉林,0,11,0,11
来宾,0,11,0,11
钦州,0,8,0,8
贵港,0,8,0,8
梧州,0,5,0,5
贺州,0,4,0,4
百色,0,3,0,3
湖南,1,1020,4,1015
境外输入,1,2,0,1
长沙,0,242,2,240
岳阳,0,156,1,155
邵阳,0,102,1,101
常德,0,82,0,82
株洲,0,80,0,80
娄底,0,76,0,76
益阳,0,60,0,60
衡阳,0,48,0,48
永州,0,44,0,44
怀化,0,40,0,40
郴州,0,39,0,39
湘潭,0,36,0,36
湘西自治州,0,8,0,8
张家界,0,5,0,5
安徽,1,992,6,985
阜阳,1,156,0,155
合肥,0,174,1,173
蚌埠,0,160,5,155
亳州,0,108,0,108
安庆,0,83,0,83
六安,0,69,0,69
宿州,0,41,0,41
马鞍山,0,38,0,38
芜湖,0,34,0,34
铜陵,0,29,0,29
淮北,0,28,0,28
淮南,0,27,0,27
池州,0,17,0,17
滁州,0,13,0,13
黄山,0,9,0,9
宣城,0,6,0,6
山东,1,849,7,841
境外输入,1,72,0,71
济宁,0,260,0,260
青岛,0,79,1,78
临沂,0,49,0,49
济南,0,47,0,47
烟台,0,47,0,47
潍坊,0,44,0,44
威海,0,38,1,37
聊城,0,38,0,38
德州,0,37,2,35
泰安,0,35,2,33
淄博,0,30,1,29
枣庄,0,24,0,24
菏泽,0,18,0,18
日照,0,16,0,16
滨州,0,15,0,15
重庆,1,590,6,583
境外输入,1,14,0,13
万州区,0,118,4,114
江北区,0,28,0,28
云阳县,0,25,0,25
合川区,0,23,0,23
綦江区,0,23,0,23
长寿区,0,22,0,22
奉节县,0,22,0,22
九龙坡区,0,21,1,20
开州区,0,21,1,20
忠县,0,21,0,21
渝中区,0,20,0,20
垫江县,0,20,0,20
潼南区,0,18,0,18
渝北区,0,17,0,17
两江新区,0,17,0,17
南岸区,0,15,0,15
石柱县,0,15,0,15
大足区,0,14,0,14
巫溪县,0,14,0,14
铜梁区,0,10,0,10
丰都县,0,10,0,10
巫山县,0,10,0,10
沙坪坝区,0,9,0,9
璧山区,0,9,0,9
荣昌区,0,9,0,9
大渡口区,0,7,0,7
巴南区,0,6,0,6
涪陵区,0,5,0,5
永川区,0,5,0,5
江津区,0,4,0,4
梁平区,0,4,0,4
高新区,0,4,0,4
黔江区,0,2,0,2
城口县,0,2,0,2
彭水县,0,2,0,2
武隆区,0,1,0,1
秀山县,0,1,0,1
酉阳县,0,1,0,1
万盛经开区,0,1,0,1
甘肃,1,181,2,178
境外输入,1,89,0,88
兰州,0,36,2,34
天水,0,12,0,12
平凉,0,9,0,9
定西,0,9,0,9
甘南,0,8,0,8
白银,0,4,0,4
陇南,0,4,0,4
庆阳,0,3,0,3
临夏,0,3,0,3
张掖,0,2,0,2
金昌,0,1,0,1
省级（湖北输入）,0,1,0,1
新疆,0,980,3,977
乌鲁木齐,0,845,0,845
喀什地区,0,80,0,80
伊犁州,0,18,0,18
兵团第四师,0,10,1,9
昌吉州,0,5,0,5
兵团第八师石河子市,0,4,1,3
兵团第九师,0,4,1,3
吐鲁番市,0,3,0,3
巴州,0,3,0,3
兵团第十二师,0,3,0,3
兵团第六师五家渠市,0,2,0,2
兵团第七师,0,1,0,1
阿克苏地区,0,1,0,1
待明确地区,0,1,0,1
黑龙江,0,949,13,936
